system   D            wsystem.c:583  maybe_parent_dir                 [   0.00063] Also searching C:\Users\NEGU\Documents\ForbiddenDesert\TPFinal\
display  D   display_settings.c:191  debug_display_settings           [   0.06497] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06499] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06501] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06502] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.06504] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06506] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06507] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06509] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06511] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06513] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06514] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06516] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06518] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06520] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06521] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06523] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06525] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06526] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06528] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06530] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06531] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06533] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06535] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06537] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06538] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06545] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06547] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06549] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06550] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06552] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06554] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06556] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06557] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06559] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06562] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06565] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.06567] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.06642] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.06646] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.11560] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.12322] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.12325] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.12327] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.12330] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.12332] Returning d3d_display: 008AC040
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.12334] al_display=008AC040
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.12335] al_display->vt=0085F0B0
dtor     D               dtor.c:184  _al_register_destructor          [   0.12482] added dtor for object 0086CEE8, func 00F29364
dtor     D               dtor.c:184  _al_register_destructor          [   0.12487] added dtor for object 00891AE8, func 00F29887
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14798] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14801] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.14803] Fake format
